"Sr. No.","Domain Name","URL Length","Is IP as Host name","Is .exe present","Is www present","FTP used",".js used","Files in URL","css used","Digit to alphabet ratio","Special Char to Alphabet Ratio","Uppercase to LowercaseRatio","Domain to URL Ratio","Numeric Character","English Letters","Special Characters","Dots","Semicolon","Underscore","Question Mark","Hash Character","Equals","Percentage Character","Ampersand","Dash","Delimiters","At Character","Tilde","Double Slash","Is Hashed","TLD","Digit to alphabet distance","Https in URL","File Extention","TLD in Subdomain","TLD in path","https in host name","Host name length","Path length","Query length","Word based distribution","Is English word","Is Meaningful","Is Pronounceable","Is random","Unigram","Bigram","Trigram","Sensitive Words","Is domain suspicious","Levenshtein Distance","Entropy","Hyphenstring","Homoglyph","Vowel string","Bitsquatting","Insertion string","Omission","Repeatition","Replacement","Subdomain","Transposition","Addition string","Google Search Feature","IP Address","ASN Number","ASN Country Code","ASN CIDR","ASN Postal Code","ASN creation date","ASN updation date","Total images in webpage","Total links","Number of parameter","Number of fragments","Body tags in source","Meta tag in source","Div tag in source","Fake link in status bar","Right click disable","Popup window","mailto: present","Frame tag present","Is title tag empty","Eval() function","Escape() function","Exec() Function","Search() function","Is image only in webpage","Domain Age in Days","Label"
1,"patakis.gr",22,"False","False","False","False","False","False","False",0,0.2941,0,0.6364,0,17,5,2,0,0,0,0,0,0,0,0,0,0,0,1,"False","gr",0,"True","False","False","False","False",14,0,0,"True","True","False","False","True",0,0,0,1,"False",9,3.5726,"No_hyphen","No_homo_str","['patakes', 'patikis', 'patekis', 'patakos', 'pitakis', 'patukis']","['ratakis', 'xatakis', 'pctakis', 'pitakis', 'pauakis', 'papakis', 'pa4akis', 'patekis', 'patqkis', 'pataiis', 'patacis', 'patakks', 'patakas', 'patakir', 'patakiw', 'pataki3']","['pat2akis', 'patwakis', 'pat6akis', 'patakios', 'patamkis', 'pataklis', 'patazkis', 'patakkis', 'patakius', 'paytakis', 'pastakis', 'patalkis', 'pataykis', 'pwatakis', 'pat1akis', 'pataqkis', 'pagtakis', 'patawkis', 'p1atakis', 'pa6takis', 'pataikis', 'paztakis', 'pa2takis', 'patakiis', 'patrakis', 'pawtakis', 'patyakis', 'patzakis', 'patakijs']","['atakis', 'ptakis', 'pataks']","['patakiss', 'patakiis', 'pataakis']","['pwtakis', 'patakix', 'patskis', 'patamis', 'patakiw', 'pagakis', 'oatakis', 'patykis', 'p1takis', 'payakis', 'pa6akis', 'patakos', 'pat1kis', 'patwkis', 'pazakis', 'pytakis', 'patakus', 'patakjs', 'pa5akis', 'patalis', 'latakis', 'patakie']","['pa.takis', 'pata.kis']","['ptaakis', 'patkais', 'pataksi']","['patakisb', 'patakisd', 'patakisf', 'patakish', 'patakisj', 'patakisl', 'patakisn', 'patakisp', 'patakisr', 'patakist', 'patakisv', 'patakisx', 'patakisz']",1,"51.77.119.153",16276,"GB","51.77.118.0/23",0,"0000-00-00T00:00:00","0000-00-00T00:00:00",88,339,0,0,1,5,529,"False","False","False","True","True","False",0,0,0,0,"False",0,0
2,"nts.org.uk",22,"False","False","False","False","False","False","False",0,0.375,0,0.6364,0,16,6,3,0,0,0,0,0,0,0,0,0,0,0,1,"False","org.uk",0,"True","False","False","False","False",14,0,0,"True","True","False","False","True",0,0,0,34,"False",9,3.6292,"No_hyphen","No_homo_str","No_vowel_result","['lts', 'fts', 'nvs', 'nds', 'ntr', 'ntw', 'nt3']","['nyts', 'nfts', 'ntfs', 'ntrs', 'nrts', 'ngts', 'ntys']","['nt']","['nnts']","['nty', 'nys', 'n5s', 'mts', 'nrs', 'nzs', 'ntq', 'ntw', 'ntd']","No_subdomain_str","['nst']","['ntsb', 'ntsd', 'ntsf', 'ntsh', 'ntsj', 'ntsl', 'ntsn', 'ntsp', 'ntsr', 'ntst', 'ntsv', 'ntsx', 'ntsz']",1,"51.141.5.85",8075,"GB","51.140.0.0/14, 51.144.0.0/15",0,"0000-00-00T00:00:00","0000-00-00T00:00:00",0,70,0,0,1,39,151,"False","False","False","False","True","False",0,0,0,0,"False",0,0
3,"minneapolisparks.org",32,"False","False","False","False","False","False","False",0,0.1852,0,0.75,0,27,5,2,0,0,0,0,0,0,0,0,0,0,0,1,"False","org",0,"True","False","False","False","False",24,0,0,"True","True","False","False","True",0,0,0,28,"False",9,4.0542,"['neapolisparks']","No_homo_str","['menneapolisparks', 'minnaapolisparks', 'monneapolisparks', 'minneapolisparks', 'minneapolusparks', 'minneapolispurks', 'minneapolispirks', 'minniapolisparks', 'minneapolisperks', 'minneupolisparks', 'minneapolasparks', 'minneopolisparks']","['oinneapolisparks', 'einneapolisparks', 'mhnneapolisparks', 'mmnneapolisparks', 'mynneapolisparks', 'milneapolisparks', 'mifneapolisparks', 'minleapolisparks', 'minfeapolisparks', 'minngapolisparks', 'minnmapolisparks', 'minnecpolisparks', 'minneipolisparks', 'minneaqolisparks', 'minneatolisparks', 'minnea0olisparks', 'minneapmlisparks', 'minneapglisparks', 'minneaponisparks', 'minneapodisparks', 'minneapolksparks', 'minneapolasparks', 'minneapolirparks', 'minneapoliwparks', 'minneapoli3parks', 'minneapolisrarks', 'minneapolisxarks', 'minneapolispcrks', 'minneapolispirks', 'minneapolispasks', 'minneapolispavks', 'minneapolispabks', 'minneapolisparjs', 'minneapolisparos', 'minneapolisparkr', 'minneapolisparkw', 'minneapolispark3']","['minneazpolisparks', 'minneapolispaerks', 'minneapoluisparks', 'moinneapolisparks', 'minneapolisparkjs', 'minneapkolisparks', 'minneapolispar4ks', 'mi9nneapolisparks', 'minneapolispoarks', 'minneapoliszparks', 'minneapolispa1rks', 'minneqapolisparks', 'minneapolismparks', 'minneapolispaqrks', 'minne2apolisparks', 'minnesapolisparks', 'minneapoolisparks', 'minneapolispartks', 'minn3eapolisparks', 'minnezapolisparks', 'minnmeapolisparks', 'minneapo0lisparks', 'minneapolis0parks', 'minne3apolisparks', 'minneapolisparkms', 'minneapolisqparks', 'minneapolidsparks', 'minnewapolisparks', 'minneapolispa2rks', 'mimnneapolisparks', 'minneapolispa4rks', 'minneaypolisparks', 'minneapolisaparks', 'minneapoliswparks', 'minjneapolisparks', 'minneappolisparks', 'minneapolispareks', 'minnzeapolisparks', 'minneapomlisparks', 'minneapolijsparks', 'minneawpolisparks', 'minneapolisparkos', 'minneapolispa5rks', 'minndeapolisparks', 'minneapoklisparks', 'mihnneapolisparks', 'minneapoliusparks', 'minne1apolisparks', 'minneapoliqsparks', 'mijnneapolisparks', 'minneapolisp2arks', 'miunneapolisparks', 'minneapolisplarks', 'minneaplolisparks', 'minneapoliosparks', 'm9inneapolisparks', 'minneampolisparks', 'mibnneapolisparks', 'minneapolkisparks', 'minneapolpisparks', 'minneapolispwarks', 'minneapolispadrks', 'minne4apolisparks', 'minneapolispqarks', 'minnheapolisparks', 'minneapoplisparks', 'minneapoli8sparks', 'minneapolispazrks', 'minnweapolisparks', 'minneapmolisparks']","['minneapolisarks', 'inneapolisparks', 'minnapolisparks', 'mineapolisparks', 'minneapolisprks', 'minneaolisparks', 'mnneapolisparks']","['minneeapolisparks', 'minneapoolisparks', 'minneapolispaarks', 'minneapolisparkks', 'minneapolisparrks', 'minneaapolisparks', 'minnneapolisparks']","['mibneapolisparks', 'minneap0lisparks', 'minneqpolisparks', 'minneapolisp1rks', 'minneapolisparls', 'mimneapolisparks', 'munneapolisparks', 'minneapklisparks', 'minne1polisparks', 'pinneapolisparks', 'minneapolisparkx', 'minneap9lisparks', 'minjeapolisparks', 'minneapolislarks', 'minneaoolisparks', 'minneapoliqparks', 'minneapolksparks', 'minneapolisparkd', 'minnwapolisparks', 'minneapolisoarks', 'minneapolisparms', 'minneamolisparks', 'minn3apolisparks', 'minneapilisparks', 'minbeapolisparks', 'minneapolispwrks', 'minndapolisparks', 'minneapolispaeks', 'minneypolisparks', 'minneapoliwparks', 'minneapol9sparks', 'm8nneapolisparks', 'minmeapolisparks', 'minneapolispadks', 'minneapolismarks', 'minneapolosparks', 'minneapolispa5ks', 'minneapolusparks', 'minneapoliyparks', 'minneapolispsrks', 'ninneapolisparks', 'minneapoljsparks', 'minneapokisparks', 'minneapolisparkq', 'minneapolispqrks']","['mi.nneapolisparks', 'minn.eapolisparks', 'minnea.polisparks', 'minneapo.lisparks', 'minneapoli.sparks', 'minneapolisp.arks', 'minneapolispar.ks']","['mnineapolisparks', 'minnaepolisparks', 'minneaoplisparks', 'minneapoilsparks', 'minneapolipsarks', 'minneapolispraks', 'minneapolisparsk']","['minneapolisparksb', 'minneapolisparksd', 'minneapolisparksf', 'minneapolisparksh', 'minneapolisparksj', 'minneapolisparksl', 'minneapolisparksn', 'minneapolisparksp', 'minneapolisparksr', 'minneapolisparkst', 'minneapolisparksv', 'minneapolisparksx', 'minneapolisparksz']",1,"104.207.254.43",36444,"US","104.207.224.0/19",48917,"2014-10-06T00:00:00","2020-12-10T00:00:00",9,431,0,0,1,14,127,"False","False","False","False","True","False",0,0,0,0,"False",2573,0
4,"mexperience.com",27,"False","False","False","False","False","False","False",0,0.2273,0,0.7037,0,22,5,2,0,0,0,0,0,0,0,0,0,0,0,1,"False","com",0,"True","False","False","False","False",19,0,0,"True","True","False","False","True",0,0,0,17,"False",9,3.838,"['pe', 'ence']","No_homo_str","['mexperuence', 'mexperienco', 'mexperoence', 'muxperience', 'mexpereence', 'mexperiince', 'mixperience', 'mexperiencu', 'mexperienca', 'maxperience']","['oexperience', 'eexperience', 'mdxperience', 'maxperience', 'muxperience', 'mezperience', 'mehperience', 'mexqerience', 'mexterience', 'mex0erience', 'mexpgrience', 'mexpmrience', 'mexpesience', 'mexpevience', 'mexpebience', 'mexperhence', 'mexpermence', 'mexperyence', 'mexperignce', 'mexperimnce', 'mexperieoce', 'mexperiejce', 'mexperienbe', 'mexperienge', 'mexperiense', 'mexperiencg', 'mexperiencm']","['mexpesrience', 'me3xperience', 'mexperienjce', 'mexperirence', 'mexpoerience', 'mexper9ience', 'mexpderience', 'merxperience', 'mexperi3ence', 'mesxperience', 'mexperikence', 'mexpwerience', 'mexpe4rience', 'mexpe3rience', 'mexwperience', 'msexperience', 'mexperienbce', 'mexperie3nce', 'mexpereience', 'mexperiendce', 'm4experience', 'mexpetrience', 'mexperisence', 'mexperienfce', 'mexsperience', 'mexper4ience', 'mexperiejnce', 'mexyperience', 'mexperdience', 'mexperiehnce', 'mexperioence', 'mexpezrience', 'mewxperience', 'mexperi4ence', 'mexperrience', 'mexperienmce', 'mexperi8ence', 'mexperoience', 'mexperiewnce', 'mexp4erience', 'mexperienhce', 'mexperiuence', 'mexperiesnce', 'mezxperience', 'mzexperience', 'mexperiencxe', 'mexp3erience', 'mwexperience']","['mexerience', 'mexperienc', 'meperience', 'mexperence', 'mexperiene']","['mexperiencee', 'mexperieence', 'meexperience', 'mmexperience', 'mexperrience']","['mexperjence', 'm4xperience', 'm3xperience', 'mwxperience', 'mexperidnce', 'mexperoence', 'mexprrience', 'mexpe5ience', 'mexpzrience', 'mexperiejce', 'mexmerience', 'mexpe4ience', 'mexpetience', 'mexperi3nce', 'mexperiencs', 'mexpsrience', 'mexperiencd', 'mexperiebce', 'mexpefience', 'mdxperience', 'nexperience', 'mexperiehce', 'mexperienxe', 'mexperirnce', 'medperience', 'mexperiencr', 'mrxperience', 'mexperienc3', 'mexper8ence', 'mexoerience', 'lexperience']","['me.xperience', 'mexp.erience', 'mexper.ience', 'mexperie.nce']","['mxeperience', 'mexeprience', 'mexpeirence', 'mexperinece', 'mexperienec']","['mexperienceb', 'mexperienced', 'mexperiencef', 'mexperienceh', 'mexperiencej', 'mexperiencel', 'mexperiencen', 'mexperiencep', 'mexperiencer', 'mexperiencet', 'mexperiencev', 'mexperiencex', 'mexperiencez']",1,"192.249.115.152",22611,"US","192.249.112.0/20",90245,"2013-07-31T00:00:00","2013-11-01T00:00:00",31,209,0,0,1,30,160,"False","False","False","False","False","False",0,0,0,7,"False",3005,0
5,"visitalexandriava.com",33,"False","False","False","False","False","False","False",0,0.1786,0,0.7576,0,28,5,2,0,0,0,0,0,0,0,0,0,0,0,1,"False","com",0,"True","False","False","False","False",25,0,0,"True","True","False","False","True",0,0,0,13,"False",9,4.1273,"['i', 'dri', 'va']","No_homo_str","['visitaluxandriava', 'visatalexandriava', 'visitolexandriava', 'visitalexandraava', 'visitalexandriavo', 'visitalexondriava', 'visitalexandruava', 'visitalexindriava', 'vesitalexandriava', 'vasitalexandriava', 'visitalexandriiva', 'visitalexandreava', 'visitilexandriava', 'visitalexandriava', 'visitalexundriava', 'visitalexandriova']","['tisitalexandriava', 'fisitalexandriava', 'vhsitalexandriava', 'vmsitalexandriava', 'vysitalexandriava', 'viqitalexandriava', 'vicitalexandriava', 'vishtalexandriava', 'vismtalexandriava', 'visytalexandriava', 'visivalexandriava', 'visidalexandriava', 'visitclexandriava', 'visitilexandriava', 'visitamexandriava', 'visitahexandriava', 'visitaldxandriava', 'visitalaxandriava', 'visitaluxandriava', 'visitalezandriava', 'visitalehandriava', 'visitalexcndriava', 'visitalexindriava', 'visitalexaodriava', 'visitalexajdriava', 'visitalexaneriava', 'visitalexanlriava', 'visitalexandsiava', 'visitalexandviava', 'visitalexandbiava', 'visitalexandrhava', 'visitalexandrmava', 'visitalexandryava', 'visitalexandrieva', 'visitalexandriqva', 'visitalexandriata', 'visitalexandriafa', 'visitalexandriavc', 'visitalexandriavi']","['visyitalexandriava', 'visitawlexandriava', 'visitaplexandriava', 'visitalexahndriava', 'visitalrexandriava', 'visxitalexandriava', 'visitalezxandriava', 'visitalexanedriava', 'visitalexandriazva', 'visitalexandr8iava', 'voisitalexandriava', 'visaitalexandriava', 'visitalkexandriava', 'viysitalexandriava', 'viositalexandriava', 'visitalexandrfiava', 'visitalexandri1ava', 'visitalexanmdriava', 'visitalexdandriava', 'visitfalexandriava', 'visitalexandsriava', 'visitalmexandriava', 'visitalexandriabva', 'visiktalexandriava', 'visitalerxandriava', 'visitalexandr4iava', 'visitalexanjdriava', 'visitalexqandriava', 'visitalexandrdiava', 'viusitalexandriava', 'visitalexandriacva', 'visitalexandruiava', 'vjisitalexandriava', 'visjitalexandriava', 'visitalexawndriava', 'vis8italexandriava', 'visit5alexandriava', 'visityalexandriava', 'visitalexandriaqva', 'visitalexanxdriava', 'visitalexandriawva', 'visijtalexandriava', 'visiftalexandriava', 'viasitalexandriava', 'visitalexandrioava', 'visitalexandri8ava', 'visigtalexandriava', 'visitralexandriava', 'visitaklexandriava', 'visitalexandr9iava', 'visitalexasndriava', 'visitalexand4riava', 'visitalexanbdriava', 'visitalexandriwava', 'visitalexandfriava', 'vi9sitalexandriava', 'viesitalexandriava', 'visitalexandri9ava', 'visitalexandriavga', 'visitalexandria1va', 'visita1lexandriava', 'visi9talexandriava', 'vi8sitalexandriava', 'visitalexandria2va', 'visitalexandriagva', 'visitwalexandriava', 'visitalexandtriava', 'vkisitalexandriava', 'visitamlexandriava', 'visiztalexandriava', 'visitalexyandriava', 'visitalexandriqava', 'visitqalexandriava', 'visit1alexandriava', 'visitalesxandriava', 'visitalexandriafva', 'visitalzexandriava', 'visitalex1andriava', 'visitaldexandriava', 'visitalexandrtiava', 'visitalexandrriava', 'visitalexandrizava', 'visitalexandriayva', 'visitalexanhdriava', 'visitazlexandriava']","['visitalexadriava', 'visialexandriava', 'visitalexandriav', 'visitaleandriava', 'vistalexandriava', 'visitalexandrava', 'visitalexandriva', 'vsitalexandriava']","['visittalexandriava', 'vissitalexandriava', 'visitalexaandriava', 'visitalexandriaava', 'visiitalexandriava', 'visitalexxandriava', 'visitaleexandriava', 'visitallexandriava']","['visifalexandriava', 'visi5alexandriava', 'visitalewandriava', 'visitaoexandriava', 'visitalexandeiava', 'visitalexandr9ava', 'visitaledandriava', 'visiralexandriava', 'visitalexandrizva', 'visitalexand4iava', 'visitalexandriavs', 'visital3xandriava', 'visitalexahdriava', 'visitalexandriaba', 'visitakexandriava', 'visitalexandtiava', 'visitalexqndriava', 'visitalex2ndriava', 'cisitalexandriava', 'gisitalexandriava', 'visitalexanxriava', 'visutalexandriava', 'vis9talexandriava', 'visitalexandrjava', 'visitylexandriava', 'visitalezandriava', 'vizitalexandriava', 'visitalexanrriava', 'visitalexandruava', 'visitalexandriqva', 'visiyalexandriava', 'visitalexandri1va', 'visitslexandriava', 'visitalexamdriava', 'visitaleyandriava', 'visi6alexandriava', 'visitapexandriava', 'visit2lexandriava', 'vieitalexandriava', 'vixitalexandriava', 'vositalexandriava', 'visitwlexandriava', 'visitqlexandriava', 'visitalwxandriava', 'vusitalexandriava', 'visjtalexandriava', 'visitalexandriaca', 'vjsitalexandriava', 'visitalexandriwva', 'visitalexandrisva', 'visitalexaneriava']","['vi.sitalexandriava', 'visi.talexandriava', 'visita.lexandriava', 'visitale.xandriava', 'visitalexa.ndriava', 'visitalexand.riava', 'visitalexandri.ava']","['vsiitalexandriava', 'vistialexandriava', 'visitlaexandriava', 'visitalxeandriava', 'visitalexnadriava', 'visitalexanrdiava', 'visitalexandraiva', 'visitalexandriaav']","['visitalexandriavab', 'visitalexandriavad', 'visitalexandriavaf', 'visitalexandriavah', 'visitalexandriavaj', 'visitalexandriaval', 'visitalexandriavan', 'visitalexandriavap', 'visitalexandriavar', 'visitalexandriavat', 'visitalexandriavav', 'visitalexandriavax', 'visitalexandriavaz']",9,"152.195.37.54",15133,"US","152.176.0.0/12, 152.192.0.0/13",20147,"1992-04-01T00:00:00","2016-08-18T00:00:00",55,256,0,0,1,15,596,"False","False","True","False","True","False",0,0,0,0,"False",10796,0
6,"barcelonactiva.cat",30,"False","False","False","False","False","False","False",0,0.2,0,0.7333,0,25,5,2,0,0,0,0,0,0,0,0,0,0,0,1,"False","cat",0,"True","False","False","False","False",22,0,0,"True","True","False","False","True",0,0,0,8,"False",9,3.9232,"['ac', 'va']","No_homo_str","['bircelonactiva', 'bercelonactiva', 'barcelonactova', 'burcelonactiva', 'barcelonoctiva', 'barcolonactiva', 'barcelonactuva', 'barcelonictiva', 'barcelonactivu', 'barcelonactava', 'borcelonactiva', 'barcelonacteva']","['farcelonactiva', 'rarcelonactiva', 'bercelonactiva', 'bqrcelonactiva', 'bapcelonactiva', 'bazcelonactiva', 'ba2celonactiva', 'baraelonactiva', 'barkelonactiva', 'barcdlonactiva', 'barcalonactiva', 'barculonactiva', 'barcenonactiva', 'barcedonactiva', 'barcelmnactiva', 'barcelgnactiva', 'barcelolactiva', 'barcelofactiva', 'barcelonectiva', 'barcelonqctiva', 'barcelonaativa', 'barcelonaktiva', 'barcelonacuiva', 'barcelonacpiva', 'barcelonac4iva', 'barcelonactkva', 'barcelonactava', 'barcelonactiwa', 'barcelonactira', 'barcelonacti6a', 'barcelonactive', 'barcelonactivq']","['barceolonactiva', 'barcelon2activa', 'b2arcelonactiva', 'barcelonactifva', 'barcelonactiuva', 'barcelonactivga', 'barcelonacrtiva', 'barcezlonactiva', 'barcelonacftiva', 'barcelonactyiva', 'bzarcelonactiva', 'barcelonacdtiva', 'barcelonmactiva', 'barcelonavctiva', 'barc3elonactiva', 'barcelolnactiva', 'barcerlonactiva', 'barcelonac5tiva', 'barcelonactivca', 'barcelonacgtiva', 'bardcelonactiva', 'barcelonhactiva', 'barcelonactoiva', 'barcelonact9iva', 'barcelona2ctiva', 'barceplonactiva', 'barcelionactiva', 'barcelon1activa', 'barcelonactfiva', 'bafrcelonactiva', 'bayrcelonactiva', 'barcemlonactiva', 'barcelonacvtiva', 'barceloinactiva', 'barcelona1ctiva', 'barcelonact6iva', 'barcelonjactiva', 'barcelonacticva', 'barcelonadctiva', 'barceloonactiva', 'ba1rcelonactiva', 'barcelonactuiva', 'barczelonactiva', 'barceloknactiva', 'barcelonactivba', 'barcrelonactiva', 'barcelonaqctiva', 'byarcelonactiva', 'barcelonactiova', 'barcelobnactiva', 'barcelonactgiva', 'barcelonactibva', 'bwarcelonactiva', 'barcelonazctiva', 'barcel9onactiva', 'barcelonactjiva', 'barcelonayctiva', 'barcelonacxtiva', 'barcelonaxctiva', 'barcvelonactiva', 'barfcelonactiva', 'barcelonafctiva', 'barcselonactiva']","['barceonactiva', 'barcelonactia', 'barcelnactiva', 'barcelonactiv', 'barcelonctiva', 'barcelonactva', 'arcelonactiva']","['bbarcelonactiva', 'barrcelonactiva', 'barcelonaactiva', 'barcelonacctiva', 'barcelonactivva', 'barcelonacttiva', 'baarcelonactiva']","['b1rcelonactiva', 'barcdlonactiva', 'ba5celonactiva', 'barcelohactiva', 'barfelonactiva', 'ba4celonactiva', 'badcelonactiva', 'barcemonactiva', 'barcelknactiva', 'barcelonac6iva', 'barcelonactivw', 'barvelonactiva', 'barcelonactuva', 'barcelonwctiva', 'barcelonactjva', 'baecelonactiva', 'harcelonactiva', 'barcekonactiva', 'barcelobactiva', 'barcelonaxtiva', 'barczlonactiva', 'barcelojactiva', 'bardelonactiva', 'barcelonavtiva', 'barcelonacriva', 'barcel9nactiva', 'bqrcelonactiva', 'barcelonactivq', 'barcrlonactiva', 'barcelonactiv2', 'barcelonactivy', 'bwrcelonactiva', 'barcelonac5iva', 'bsrcelonactiva', 'barc3lonactiva', 'barcelonactkva', 'barcelonact9va', 'bzrcelonactiva']","['ba.rcelonactiva', 'barc.elonactiva', 'barcel.onactiva', 'barcelon.activa', 'barcelonac.tiva', 'barcelonacti.va']","['bracelonactiva', 'bareclonactiva', 'barceolnactiva', 'barceloanctiva', 'barcelonatciva', 'barcelonactvia']","['barcelonactivab', 'barcelonactivad', 'barcelonactivaf', 'barcelonactivah', 'barcelonactivaj', 'barcelonactival', 'barcelonactivan', 'barcelonactivap', 'barcelonactivar', 'barcelonactivat', 'barcelonactivav', 'barcelonactivax', 'barcelonactivaz']",1,"195.235.110.233",3352,"ES","195.235.110.0/24",0,"0000-00-00T00:00:00","0000-00-00T00:00:00",59,133,0,0,1,3,469,"False","False","False","False","True","False",0,0,1,0,"False",0,0
7,"pref.nagasaki.jp",28,"False","False","False","False","False","False","False",0,0.2727,0,0.7143,0,22,6,3,0,0,0,0,0,0,0,0,0,0,0,1,"False","nagasaki.jp",0,"True","False","False","False","False",20,0,0,"True","True","True","True","False",0,0,0,1,"False",9,3.9138,"No_hyphen","No_homo_str","['praf', 'prif']","['rref', 'xref', 'psef', 'pvef', 'pbef', 'prdf', 'praf', 'pruf', 'pred', 'pren']","['peref', 'presf', 'prsef', 'preef', 'prref', 'przef', 'pr4ef', 'pfref', 'prdef', 'pdref', 'pre3f', 'pr3ef']","['pre', 'pef']","['preef', 'preff']","['prwf', 'pr3f', 'pdef', 'pret', 'prev', 'preg', 'pfef', 'prdf', 'przf', 'lref', 'pred']","['pr.ef']","['perf']","['prefb', 'prefd', 'preff', 'prefh', 'prefj', 'prefl', 'prefn', 'prefp', 'prefr', 'preft', 'prefv', 'prefx', 'prefz']",10,"42.125.243.144",10010,"JP","42.124.0.0/14",0,"0000-00-00T00:00:00","0000-00-00T00:00:00",18,85,0,0,1,6,25,"False","False","False","False","False","False",0,0,0,0,"False",0,0
